TIMESTAMP,Bytes-rd,total urls,download_rate,rx_rate,tx_rate,RSSI
2025-08-06T15:26:50,0,0,0,292 Mbps,292 Mbps,-27
2025-08-06T15:26:57,0,0,0,234 Mbps,234 Mbps,-30
2025-08-06T15:27:03,0,0,0,234 Mbps,234 Mbps,-30
2025-08-06T15:27:09,15002896,3,6167918,234 Mbps,234 Mbps,-30
2025-08-06T15:27:15,20000000,4,6544183,234 Mbps,234 Mbps,-30
2025-08-06T15:27:22,25000000,5,6771887,263 Mbps,263 Mbps,-29
2025-08-06T15:27:28,30000000,6,6947834,263 Mbps,263 Mbps,-29
2025-08-06T15:27:34,40000000,8,7150908,234 Mbps,234 Mbps,-29
2025-08-06T15:27:40,45000000,9,7226535,234 Mbps,234 Mbps,-29
2025-08-06T15:27:47,45000000,9,6601334,234 Mbps,234 Mbps,-30
